3M India Ltd.,SERVICES,3MINDIA,INE470A01017
8K Miles Soft Services Ltd.,IT,8KMILES,INE650K01021
ABB India Ltd.,INDUSTRIAL MANUFACTURING,ABB,INE117A01022
ACC Ltd.,CEMENT & CEMENT PRODUCTS,ACC,INE012A01025
AIA Engineering Ltd.,INDUSTRIAL MANUFACTURING,AIAENG,INE212H01026
APL Apollo Tubes Ltd.,METALS,APLAPOLLO,INE702C01019
AU Small Finance Bank Ltd.,FINANCIAL SERVICES,AUBANK,INE949L01017
Aarti Industries Ltd.,CHEMICALS,AARTIIND,INE769A01020
Aban Offshore Ltd.,ENERGY,ABAN,INE421A01028
Adani Enterprises Ltd.,SERVICES,ADANIENT,INE423A01024
Adani Ports and Special Economic Zone Ltd.,SERVICES,ADANIPORTS,INE742F01042
Adani Power Ltd.,ENERGY,ADANIPOWER,INE814H01011
Adani Transmission Ltd.,ENERGY,ADANITRANS,INE931S01010
Aditya Birla Fashion and Retail Ltd.,CONSUMER GOODS,ABFRL,INE647O01011
Advanced Enzyme Tech Ltd.,CONSUMER GOODS,ADVENZYMES,INE837H01020
Aegis Logistics Ltd.,ENERGY,AEGISCHEM,INE208C01025
Ahluwalia Contracts (India) Ltd.,CONSTRUCTION,AHLUCONT,INE758C01029
Ajanta Pharmaceuticals Ltd.,PHARMA,AJANTPHARM,INE031B01049
Akzo Nobel India Ltd.,CONSUMER GOODS,AKZOINDIA,INE133A01011
Alembic Pharmaceuticals Ltd.,PHARMA,APLLTD,INE901L01018
Alkem Laboratories Ltd.,PHARMA,ALKEM,INE540L01014
Allahabad Bank,FINANCIAL SERVICES,ALBK,INE428A01015
Allcargo Logistics Ltd.,SERVICES,ALLCARGO,INE418H01029
Amara Raja Batteries Ltd.,AUTOMOBILE,AMARAJABAT,INE885A01032
Ambuja Cements Ltd.,CEMENT & CEMENT PRODUCTS,AMBUJACEM,INE079A01024
Andhra Bank,FINANCIAL SERVICES,ANDHRABANK,INE434A01013
Apar Industries Ltd.,INDUSTRIAL MANUFACTURING,APARINDS,INE372A01015
Apollo Hospitals Enterprises Ltd.,HEALTHCARE SERVICES,APOLLOHOSP,INE437A01024
Apollo Tyres Ltd.,AUTOMOBILE,APOLLOTYRE,INE438A01022
Arvind Ltd.,TEXTILES,ARVIND,INE034A01011
Ashok Leyland Ltd.,AUTOMOBILE,ASHOKLEY,INE208A01029
Ashoka Buildcon Ltd.,CONSTRUCTION,ASHOKA,INE442H01029
Asian Paints Ltd.,CONSUMER GOODS,ASIANPAINT,INE021A01026
AstraZenca Pharma India Ltd.,PHARMA,ASTRAZEN,INE203A01020
Astral Poly Technik Ltd.,INDUSTRIAL MANUFACTURING,ASTRAL,INE006I01046
Atul Ltd.,CHEMICALS,ATUL,INE100A01010
Aurobindo Pharma Ltd.,PHARMA,AUROPHARMA,INE406A01037
Avanti Feeds Ltd.,CONSUMER GOODS,AVANTIFEED,INE871C01020
Avenue Supermarts Ltd.,CONSUMER GOODS,DMART,INE192R01011
Axis Bank Ltd.,FINANCIAL SERVICES,AXISBANK,INE238A01034
BASF India Ltd.,CHEMICALS,BASF,INE373A01013
BEML Ltd.,INDUSTRIAL MANUFACTURING,BEML,INE258A01016
BF Utilities Ltd.,CONSTRUCTION,BFUTILITIE,INE243D01012
BGR Energy Systems Ltd,CONSTRUCTION,BGRENERGY,INE661I01014
BSE Ltd.,FINANCIAL SERVICES,BSE,INE118H01025
Bajaj Auto Ltd.,AUTOMOBILE,BAJAJ-AUTO,INE917I01010
Bajaj Corp Ltd.,CONSUMER GOODS,BAJAJCORP,INE933K01021
Bajaj Electricals Ltd,CONSUMER GOODS,BAJAJELEC,INE193E01025
Bajaj Finance Ltd.,FINANCIAL SERVICES,BAJFINANCE,INE296A01024
Bajaj Finserv Ltd.,FINANCIAL SERVICES,BAJAJFINSV,INE918I01018
Bajaj Hindusthan Sugar Ltd.,CONSUMER GOODS,BAJAJHIND,INE306A01021
Bajaj Holdings & Investment Ltd.,FINANCIAL SERVICES,BAJAJHLDNG,INE118A01012
Balkrishna Industries Ltd.,AUTOMOBILE,BALKRISIND,INE787D01026
Ballarpur Industries Ltd.,PAPER,BALLARPUR,INE294A01037
Balmer Lawrie & Co. Ltd.,SERVICES,BALMLAWRIE,INE164A01016
Balrampur Chini Mills Ltd.,CONSUMER GOODS,BALRAMCHIN,INE119A01028
Bank of Baroda,FINANCIAL SERVICES,BANKBARODA,INE028A01039
Bank of India,FINANCIAL SERVICES,BANKINDIA,INE084A01016
Bata India Ltd.,CONSUMER GOODS,BATAINDIA,INE176A01028
Berger Paints India Ltd.,CONSUMER GOODS,BERGEPAINT,INE463A01038
Bharat Electronics Ltd.,INDUSTRIAL MANUFACTURING,BEL,INE263A01024
Bharat Financial Inclusion Ltd.,FINANCIAL SERVICES,BHARATFIN,INE180K01011
Bharat Forge Ltd.,INDUSTRIAL MANUFACTURING,BHARATFORG,INE465A01025
Bharat Heavy Electricals Ltd.,INDUSTRIAL MANUFACTURING,BHEL,INE257A01026
Bharat Petroleum Corporation Ltd.,ENERGY,BPCL,INE029A01011
Bharti Airtel Ltd.,TELECOM,BHARTIARTL,INE397D01024
